Source,Target,Weight
5-й репортёр,7-й газетчик,1
5-й репортёр,7-й репортёр,1
5-й репортёр,8-й газетчик,1
5-й репортёр,8-й репортёр,1
5-й репортёр,9-й репортёр,1
5-й репортёр,Молодой,1
5-й репортёр,Оратор,1
5-й репортёр,Старый,1
5-й служитель,6-й служитель,1
5-й служитель,Голос из толпы 1,1
5-й служитель,Голос из толпы 2,1
5-й служитель,Голос из толпы 3,1
5-й служитель,Голоса гостей,1
5-й служитель,Дети,1
5-й служитель,Директор,1
5-й служитель,Председатель совета,1
5-й служитель,Присыпкин (Пьер Скрипкин),1
5-й служитель,Распорядитель,1
6-й врач,Зоя Берёзкина,1
6-й врач,Присыпкин (Пьер Скрипкин),1
6-й врач,Профессор,1
6-й газетчик,6-й репортёр,1
6-й газетчик,7-й газетчик,1
6-й газетчик,7-й репортёр,1
6-й газетчик,8-й газетчик,1
6-й газетчик,8-й репортёр,1
6-й газетчик,9-й репортёр,1
6-й газетчик,Молодой,1
6-й газетчик,Оратор,1
6-й газетчик,Старый,1
6-й репортёр,7-й газетчик,1
6-й репортёр,7-й репортёр,1
6-й репортёр,8-й газетчик,1
6-й репортёр,8-й репортёр,1
6-й репортёр,9-й репортёр,1
6-й репортёр,Молодой,1
6-й репортёр,Оратор,1
6-й репортёр,Старый,1
6-й служитель,Голос из толпы 1,1
6-й служитель,Голос из толпы 2,1
6-й служитель,Голос из толпы 3,1
6-й служитель,Голоса гостей,1
6-й служитель,Дети,1
6-й служитель,Директор,1
6-й служитель,Председатель совета,1
6-й служитель,Присыпкин (Пьер Скрипкин),1
6-й служитель,Распорядитель,1
7-й газетчик,7-й репортёр,1
7-й газетчик,8-й газетчик,1
7-й газетчик,8-й репортёр,1
7-й газетчик,9-й репортёр,1
7-й газетчик,Молодой,1
7-й газетчик,Оратор,1
7-й газетчик,Старый,1
7-й репортёр,8-й газетчик,1
7-й репортёр,8-й репортёр,1
7-й репортёр,9-й репортёр,1
7-й репортёр,Молодой,1
7-й репортёр,Оратор,1
7-й репортёр,Старый,1
8-й газетчик,8-й репортёр,1
8-й газетчик,9-й репортёр,1
8-й газетчик,Молодой,1
8-й газетчик,Оратор,1
8-й газетчик,Старый,1
8-й репортёр,9-й репортёр,1
8-й репортёр,Молодой,1
8-й репортёр,Оратор,1
8-й репортёр,Старый,1
9-й репортёр,Молодой,1
9-й репортёр,Оратор,1
9-й репортёр,Старый,1
Баян,Босой,1
Баян,Бухгалтер,1
Баян,Голос,1
Баян,Голоса II,1
Баян,Голоса III,1
Баян,Гость,1
Баян,Девушка II,1
Баян,Зоя Берёзкина,1
Баян,Изобретатель,1
Баян,Милиционер,1
Баян,Молодой рабочий,1
Баян,Парень,1
Баян,Парень с книгой,1
Баян,Парикмахер,1
Баян,Посажёная,1
Баян,Присыпкин (Пьер Скрипкин),3
Баян,Продавец клея,1
Баян,Продавец книг,1
Баян,Продавец сельдей,1
Баян,Продавец шаров,1
Баян,Разносчик абажуров,1
Баян,Разносчик игрушек,1
Баян,Разносчик кукол,1
Баян,Разносчик пуговиц,1
Баян,Разносчик селёдок,1
Баян,Разносчик точильных камней,1
Баян,Разносчица,1
Баян,Разносчица галантереи,1
Баян,Разносчица духов,1
Баян,Разносчица яблок,1
Баян,Розалия Павловна,2
Баян,Слесарь,1
Баян,Уборщик,1
Баян,Шафер,1
Баян,Эльзевира,1
Босой,Голос,1
Босой,Голоса II,1
Босой,Девушка II,1
Босой,Изобретатель,1
Босой,Молодой рабочий,1
Босой,Парень,1
Босой,Парень с книгой,1
Босой,Присыпкин (Пьер Скрипкин),1
Босой,Слесарь,1
Босой,Уборщик,1
Бухгалтер,Голоса III,1
Бухгалтер,Гость,1
Бухгалтер,Парикмахер,1
Бухгалтер,Посажёная,1
Бухгалтер,Присыпкин (Пьер Скрипкин),1
Бухгалтер,Розалия Павловна,1
Бухгалтер,Шафер,1
Бухгалтер,Эльзевира,1
Восторженный голос,Восторженный голос сверху,1
Восторженный голос,Голоса VII,1
Восторженный голос,Девушка VII,1
Восторженный голос,Директор,1
Восторженный голос,Мужчина,1
Восторженный голос,Профессор,1
Восторженный голос,Репортёр,1
Восторженный голос,Сидящие,1
Восторженный голос сверху,Голоса VII,1
Восторженный голос сверху,Девушка VII,1
Восторженный голос сверху,Директор,1
Восторженный голос сверху,Мужчина,1
Восторженный голос сверху,Профессор,1
Восторженный голос сверху,Репортёр,1
Восторженный голос сверху,Сидящие,1
Врач,Зоя Берёзкина,1
Врач,Присыпкин (Пьер Скрипкин),1
Врач,Профессор,1
Голос,Голоса II,1
Голос,Девушка II,1
Голос,Изобретатель,1
Голос,Молодой рабочий,1
Голос,Парень,1
Голос,Парень с книгой,1
Голос,Присыпкин (Пьер Скрипкин),1
Голос,Слесарь,1
Голос,Уборщик,1
Голос из толпы 1,Голос из толпы 2,1
Голос из толпы 1,Голос из толпы 3,1
Голос из толпы 1,Голоса гостей,1
Голос из толпы 1,Дети,1
Голос из толпы 1,Директор,1
Голос из толпы 1,Председатель совета,1
Голос из толпы 1,Присыпкин (Пьер Скрипкин),1
Голос из толпы 1,Распорядитель,1
Голос из толпы 2,Голос из толпы 3,1
Голос из толпы 2,Голоса гостей,1
Голос из толпы 2,Дети,1
Голос из толпы 2,Директор,1
Голос из толпы 2,Председатель совета,1
Голос из толпы 2,Присыпкин (Пьер Скрипкин),1
Голос из толпы 2,Распорядитель,1
Голос из толпы 3,Голоса гостей,1
Голос из толпы 3,Дети,1
Голос из толпы 3,Директор,1
Голос из толпы 3,Председатель совета,1
Голос из толпы 3,Присыпкин (Пьер Скрипкин),1
Голос из толпы 3,Распорядитель,1
Голоса II,Девушка II,1
Голоса II,Изобретатель,1
Голоса II,Молодой рабочий,1
Голоса II,Парень,1
Голоса II,Парень с книгой,1
Голоса II,Присыпкин (Пьер Скрипкин),1
Голоса II,Слесарь,1
Голоса II,Уборщик,1
Голоса III,Гость,1
Голоса III,Парикмахер,1
Голоса III,Посажёная,1
Голоса III,Присыпкин (Пьер Скрипкин),1
Голоса III,Розалия Павловна,1
Голоса III,Шафер,1
Голоса III,Эльзевира,1
Голоса VII,Девушка VII,1
Голоса VII,Директор,1
Голоса VII,Мужчина,1
Голоса VII,Профессор,1
Голоса VII,Репортёр,1
Голоса VII,Сидящие,1
Голоса гостей,Дети,1
Голоса гостей,Директор,1
Голоса гостей,Председатель совета,1
Голоса гостей,Присыпкин (Пьер Скрипкин),1
Голоса гостей,Распорядитель,1
Гость,Парикмахер,1
Гость,Посажёная,1
Гость,Присыпкин (Пьер Скрипкин),1
Гость,Розалия Павловна,1
Гость,Шафер,1
Гость,Эльзевира,1
Девушка II,Изобретатель,1
Девушка II,Молодой рабочий,1
Девушка II,Парень,1
Девушка II,Парень с книгой,1
Девушка II,Присыпкин (Пьер Скрипкин),1
Девушка II,Слесарь,1
Девушка II,Уборщик,1
Девушка VII,Директор,1
Девушка VII,Мужчина,1
Девушка VII,Профессор,1
Девушка VII,Репортёр,1
Девушка VII,Сидящие,1
Дети,Директор,1
Дети,Председатель совета,1
Дети,Присыпкин (Пьер Скрипкин),1
Дети,Распорядитель,1
Директор,Мужчина,1
Директор,Председатель совета,1
Директор,Присыпкин (Пьер Скрипкин),1
Директор,Профессор,1
Директор,Распорядитель,1
Директор,Репортёр,1
Директор,Сидящие,1
Зоя Берёзкина,Милиционер,1
Зоя Берёзкина,Присыпкин (Пьер Скрипкин),3
Зоя Берёзкина,Продавец клея,1
Зоя Берёзкина,Продавец книг,1
Зоя Берёзкина,Продавец сельдей,1
Зоя Берёзкина,Продавец шаров,1
Зоя Берёзкина,Профессор,2
Зоя Берёзкина,Разносчик абажуров,1
Зоя Берёзкина,Разносчик игрушек,1
Зоя Берёзкина,Разносчик кукол,1
Зоя Берёзкина,Разносчик пуговиц,1
Зоя Берёзкина,Разносчик селёдок,1
Зоя Берёзкина,Разносчик точильных камней,1
Зоя Берёзкина,Разносчица,1
Зоя Берёзкина,Разносчица галантереи,1
Зоя Берёзкина,Разносчица духов,1
